ds,yhat,yhat_lower,yhat_upper
2020-08-13,1889.9491181433916,1825.5181170449628,1950.949034964944
2020-08-14,1889.8160181804517,1826.5745145937944,1957.9715113331092
2020-08-17,1890.8452164396267,1824.5586845773878,1951.7553356476217
2020-08-18,1894.4539917628676,1831.6628847573384,1959.5491718231685
2020-08-19,1896.265793103662,1833.6774798701927,1960.779968672566
2020-08-20,1897.8787020428942,1837.7961082538484,1959.3198379851653
2020-08-21,1898.5367139026328,1838.8523719871744,1958.36766844946
2020-08-24,1901.9705157738458,1834.9319027058482,1966.8758074531188
2020-08-25,1907.029134222472,1844.887228460086,1970.5108678835122
2020-08-26,1909.7913879857647,1850.6481032548847,1974.0151693360826
2020-08-27,1912.3002559940608,1855.3220932846584,1977.5526383842857
2020-08-28,1913.8818190998609,1851.7572057505442,1977.4339252306272
2020-08-31,1918.5866081663346,1859.4812098024931,1985.8818413438453
2020-09-01,1923.507914577194,1861.7381564081434,1985.0753623181963
2020-09-02,1925.48337924935,1862.3300582671488,1989.365066063982
2020-09-03,1927.9809022042677,1867.369878636455,1990.7231037670751
2020-09-04,1928.2179872847107,1861.1931334021708,1996.0037674662208
2020-09-08,1932.6607395858045,1870.366422735458,1999.4882656743748
2020-09-09,1935.0157543910095,1873.0006838347633,1998.972568287247
2020-09-10,1935.717635383325,1877.43946126189,1995.7092320762213
2020-09-11,1935.5107916035518,1869.230675814372,2000.6377843126456
2020-09-14,1933.3508431574444,1871.347831638576,1994.2028520345934
2020-09-15,1936.137138271258,1875.545224916398,1993.1274885215996
2020-09-16,1937.3587495941424,1877.7922806144295,2001.551570756824
2020-09-17,1937.659968932178,1873.681436425783,2000.2274068279191
2020-09-18,1936.2475868983338,1870.1118511541995,1998.3327287503514
2020-09-21,1930.2475803611082,1865.4609425600947,1993.1022809606625
2020-09-22,1932.1057289482237,1870.75269482372,1994.180731008472
2020-09-23,1929.401618975724,1866.1822966994373,1993.2407014916644
2020-09-24,1926.7686466647829,1862.6356137440368,1996.726823408338
2020-09-25,1922.8400907632044,1860.0310404913605,1983.816554716052
